   OFFSET       SIZE
        0      44051
    44051      55677
    99728      39906
   139634      34742
   174376      19398
   193774      35846
   229620      35639
   265259      49221
   314480      20461
   334941      35039
   369980      45323
   415303      29425
   444728      42448
   487176      36776
   523952      52570
   576522      40420
   616942      56993
   673935      27753
   701688      32847
   734535      29561
   764096      35627
   799723      17477
   817200      42907
   860107      17484
   877591      40043
   917634      33786
   951420      65536
  1016956      33438
  1050394      35241
  1085635      42264
  1127899      33289
  1161188      43471
  1204659      39003
  1243662      17994
  1261656      36492
  1298148      38891
  1337039      35007
  1372046      55974
  1428020      34176
  1462196      35255
  1497451      51491
  1548942      47461
  1596403      39090
  1635493      32997
  1668490      38076
  1706566      26798
  1733364      41323
  1774687      38007
  1812694      42117
  1854811      37568
  1892379      54599
  1946978      34577
  1981555      36130
  2017685      51170
  2068855      41777
  2110632      33292
  2143924      39902
  2183826      25080
  2208906      24587
  2233493      30523
  2264016      45891
  2309907      23297
  2333204      38900
  2372104      38320
  2410424      34228
  2444652      40906
  2485558      40746
  2526304      40490
  2566794      34844
  2601638      48664
  2650302      36934
  2687236      38685
  2725921      33900
  2759821      35021
  2794842      45208
  2840050      34523
  2874573      32935
  2907508      63067
  2970575      38701
  3009276      39653
  3048929      36405
  3085334      35557
  3120891      26899
  3147790      56628
  3204418      33806
  3238224      57666
  3295890      33078
  3328968      35179
  3364147      39439
  3403586      21332
