   OFFSET       SIZE
        0       3023
     3023       2198
     5221       1240
     6461       2304
     8765       1858
    10623       2326
    12949       2087
    15036       2205
    17241       2518
    19759       3092
    22851       2129
    24980       2107
    27087       2167
    29254       2157
    31411       2480
    33891       2535
    36426       2097
    38523       2224
    40747       2823
    43570       2477
    46047       2234
    48281       2444
    50725       2070
    52795       1943
    54738       2448
    57186       2240
    59426       2130
    61556       2526
    64082       2088
    66170       2304
    68474       2414
    70888       2196
    73084       2127
    75211       2303
    77514       2873
    80387       2956
    83343       3116
    86459       2118
    88577       2965
    91542       2282
    93824       2862
    96686       2558
    99244       2930
   102174       2133
   104307       2631
   106938       2569
   109507       2857
   112364       2385
   114749       2635
   117384       2099
   119483       2648
   122131       2445
   124576       2131
   126707       2754
   129461       2467
   131928       2597
   134525       2602
   137127       2507
   139634       2661
   142295       2157
   144452       1621
   146073       2732
   148805       2798
   151603       3074
   154677       2152
   156829       3601
   160430       2839
   163269       2984
   166253       3358
   169611       2470
   172081       2096
   174177       2117
   176294       2272
   178566       2208
   180774       1700
   182474       2113
   184587       2088
   186675       2221
   188896       3851
   192747       2263
   195010       2134
   197144       3054
   200198       2278
   202476       2597
   205073       2073
   207146       2167
   209313       1699
   211012       2090
   213102       2336
   215438       2408
   217846       2318
   220164       3444
   223608       2141
   225749       2292
   228041       1579
   229620       2084
   231704       2245
   233949       2103
   236052       2618
   238670       2141
   240811       2207
   243018       1742
   244760       2755
   247515       3081
   250596       1566
   252162       2079
   254241       2982
   257223       2206
   259429       2641
   262070       2119
   264189       1070
   265259       2273
   267532       2055
   269587       2066
   271653       2101
   273754       2225
   275979       2299
   278278       2989
   281267       2585
   283852       3140
   286992       1773
   288765       2225
   290990       1609
   292599       2786
   295385       4096
   299481       2581
   302062       2554
   304616       3799
   308415       2295
   310710       2243
   312953       1527
   314480       2062
   316542       2803
   319345       2313
   321658       2158
   323816       3143
   326959       2356
   329315       2264
   331579       1230
   332809       2132
   334941       3212
   338153       2096
   340249       2450
   342699       3571
   346270       3000
   349270       2279
   351549       2410
   353959       2065
   356024       2368
   358392       3061
   361453       3818
   365271       3040
   368311       1669
   369980       2128
   372108       2744
   374852       2575
   377427       2486
   379913       2576
   382489       2113
   384602       1980
   386582       1568
   388150       1082
   389232       2189
   391421       2196
   393617       2280
   395897       3892
   399789       2745
   402534       3236
   405770       2314
   408084       3971
   412055       2182
   414237       1066
   415303       2142
   417445       2346
   419791       2236
   422027       2619
   424646       2205
